gse	year	oa	src	n_runs	probe_hits	signal	doi	title	sample_titles
GSE174217	2022	Y	geo	20	20	STRONG	10.1016/j.celrep.2022.110361	Distinct MUNC lncRNA structural domains regulate transcription of different promyogenic factors [SHAPE-MaP]	C2C12-Mm-MUNC-spliced-CF-Rep1-DMSO | C2C12-Mm-MUNC-genomic-CF-DMSO | C2C12-Mm-MUNC-dCH4-CF-DMSO | C2C12-Mm-MUNC-spliced-IC-Rep1-5NIA | C2C12-Mm-MUNC-genomic-IC-5NIA | C2C12-Mm-MUNC-spliced-CF-Rep2-DMSO | C2C12-Mm-MUNC-spliced-IC-Rep1-DMSO | C2C12-Mm-MUNC-spliced-IC-Rep2-DMSO | C2C12-Mm-MUNC-dCH1-CF-DMSO | C2C12-Mm-MUNC-spliced-CF-Rep1-5NIA | C2C12-Mm-MUNC-spliced-IC-Rep2-5NIA | C2C12-Mm-MUNC-genomic-CF-5NIA | C2C12-Mm-MUNC-genomic-IC-5NIA | C2C12-Mm-MUNC-dCH1-CF-5NIA | C2C12-Mm-MUNC-genomic-CF-DMSO | C2C12-Mm-MUNC-genomic-IC-DMSO | C2C12-Mm-MUNC-genomic-IC-DMSO | C2C12-Mm-MUNC-spliced-CF-Rep2-
GSE190787	2022	Y	geo	12	12	STRONG	10.1038/s41467-022-28295-8	A disease-linked lncRNA mutation in RNase MRP inhibits ribosome synthesis [RMRP_SHAPE]	RMRP_SHAPE_WT_TREATED_1 | RMRP_SHAPE_WT_UNTREATED_1 | RMRP_SHAPE_70AG_UNTREATED_2 | RMRP_SHAPE_WT_TREATED_2 | RMRP_SHAPE_WT_UNTREATED_2 | RMRP_SHAPE_70AG_TREATED_1 | RMRP_SHAPE_70AG_UNTREATED_1 | RMRP_SHAPE_70AG_TREATED_2 | RMRP_SHAPE_WT_TREATED_3 | RMRP_SHAPE_70AG_TREATED_3 | RMRP_SHAPE_70AG_UNTREATED_3 | RMRP_SHAPE_70AG_TREATED_4
GSE171021	2022	Y	geo	24	12	STRONG	10.1038/s41467-022-28295-8	A disease-linked lncRNA mutation in RNase MRP inhibits ribosome synthesis	BY_rep1 | POP1_CRAC_REP1 | POP4_CRAC_REP1 | POP5_CRAC_REP2 | RMRP_SHAPE_WT_UNTREATED_1 | RMRP_SHAPE_70AG_UNTREATED_2 | RMRP_SHAPE_WT_TREATED_2 | RMRP_SHAPE_WT_UNTREATED_2 | BY_rep2 | WT_CRAC_REP2 | POP4_CRAC_REP2 | RMRP_SHAPE_WT_TREATED_1 | POP1_rep1 | POP1_rep2 | WT_CRAC_REP1 | POP5_CRAC_REP1 | POP1_CRAC_REP2 | RMRP_SHAPE_70AG_TREATED_1 | RMRP_SHAPE_70AG_UNTREATED_1 | RMRP_SHAPE_70AG_TREATED_2 | RMRP_SHAPE_WT_TREATED_3 | RMRP_SHAPE_70AG_TREATED_3 | RMRP_SHAPE_70AG_UNTREATED_3 | RMRP_SHAPE_70AG_TREATED_4
GSE210478	2022	Y	geo+lit	6	6	STRONG	10.1093/nargab/lqac082	DMS probing of and sequencing of the EBV infected BJAB-B1 transcriptome	BJAB-B1 Cells, DMS mock probed, DMS- replicate 2 | BJAB-B1 Cells, DMS mock probed, DMS- replicate 3 | BJAB-B1 Cells, DMS mock probed, DMS- replicate 1 | BJAB-B1 Cells, DMS probed, DMS+ replicate 3 | BJAB-B1 Cells, DMS probed, DMS+ replicate 2 | BJAB-B1 Cells, DMS probed, DMS+ replicate 1
GSE182552	2022	N	geo+lit	35	0	NONE	10.1016/j.molcel.2022.02.009	DANCE-MaP probing of the adenine riboswitch	WT, adenine 0, rep 1 | WT, adenine 2.1, rep 1 | WT, adenine 6.2, rep 1 | WT, adenine 18.5, rep 1 | WT, adenine 55.6, rep 1 | WT, adenine 166.7, rep 1 | WT, adenine 0, rep 2 | WT, adenine 0.22, rep 2 | WT, adenine 0.7, rep 2 | WT, adenine 6.2, rep 2 | WT, adenine 0, deep | WT, etoh, deep | WT, etoh, deep | Mut_off, etoh, rep 1 | WT, adenine 0.7, rep 1 | WT, adenine 2.1, rep 2 | WT, adenine 18.5, rep 2 | WT, adenine 55.6, rep 2 | WT, adenine 166.7, rep 2 | WT, adenine 100, deep | WT, etoh, rep 1 | Mut_on, adenine 0, rep 1 | Mut_on, adenine 0, rep 2 | Mut_on, adenine 500, rep 2 | Mut_off, adenine
GSE169755	2022	Y	lit	12	0	NONE	10.1007/s10571-021-01146-8	Multiomic Analyses of Dopaminergic Neurons Isolated from Human Substantia Nigra in Parkinson's Disease: A Descriptive and Explorat	dopaminergic neurons from Brain 3-rep1 | dopaminergic neurons from Brain 4-rep1 | dopaminergic neurons from Brain 7-rep1 | dopaminergic neurons from Brain 11-rep2 | dopaminergic neurons from Brain 12-rep2 | dopaminergic neurons from Brain 4-rep2 | dopaminergic neurons from Brain 11-rep1 | dopaminergic neurons from Brain 12-rep1 | dopaminergic neurons from Brain 2-rep1 | dopaminergic neurons from Brain 2-rep2 | dopaminergic neurons from Brain 3-rep2 | dopaminergic neurons from Brain 7-rep2
GSE183941	2022	N	lit	32	26	STRONG	10.1016/j.molcel.2021.11.019	RNA circles with minimized immunogenicity as potent PKR inhibitors.	circPOLR2A_Lig NAI rep1 | circPOLR2A_Lig+PKR NAI rep1 | circPOLR2A_Lig+PKR NAI rep2 | circPOLR2A_TD NAI rep1 | circPOLR2A_TD DMSO | circCAMSAP1_Lig+PKR NAI rep1 | circCAMSAP1_Lig+RIG-I NAI rep1 | circCAMSAP1_TD NAI rep2 | circCAMSAP1_Ana NAI rep1 | circPOLR2A_Lig+RIG-I NAI rep1 | circPOLR2A_Lig+RIG-I NAI rep2 | circPOLR2A_Lig DC | circPOLR2A_Ana NAI rep2 | circPOLR2A_Ana DMSO | circPOLR2A_Ana DC | circCAMSAP1_Lig NAI rep1 | circCAMSAP1_Lig NAI rep2 | circCAMSAP1_TD NAI rep1 | circCAMSAP1_TD DC | circPOLR2A_Lig NAI rep2 | circPOLR2A_Lig DMSO | circPOLR2A_TD NAI rep2 | circPOLR2A_TD DC | circPOL
GSE172446	2022	Y	lit	6	0	NONE	10.1080/15476286.2022.2025680	Flexible pri-miRNA structures enable tunable production of 5' isomiRs.	pri-miR-9-1 variant A | pri-miR-9-2 with GU | pri-miR-9-1 with GU | pri-miR-9-1 variant B | pri-miR-9-1 Suboptimal 1 | pri-miR-9-1 Suboptimal 2
GSE108893	2022	Y	lit	30	0	NONE	10.1080/15476286.2022.2025680	Flexible pri-miRNA structures enable tunable production of 5' isomiRs.	HEK293T CMV-pri-miR-9-1 | HEK293T CMV-pri-miR-9-F2-LS2-TL1 | HeLa CMV-pri-miR-9-3 | HeLa CMV-pri-miR-9-F1-LS2-TL1 | HeLa CMV-pri-miR-9-F2-LS1-TL2 | HeLa CMV-pri-miR-9-1-bulged-stem | HEK293T U6-sh-miR-9-can | HEK293T U6-sh-miR-9-alt | HEK293T psi-pri-miR-9-2 | HEK293T CMV-pri-miR-9-F1-LS2-TL1 | HEK293T CMV-pri-miR-9-F2-LS1-TL2 | HEK293T CMV-pri-miR-9-1-perfect-stem | HeLa CMV-pri-miR-9-1 | HeLa CMV-pri-miR-9-F1-LS1-TL2 | HEK293T psi-pri-miR-9-1-scaffold | HEK293T psi-pri-miR-9-2-scaffold | HEK293T psi-pri-miR-9-1 2 | HEK293T CMV-pri-miR-9-2 | HEK293T CMV-pri-miR-9-3 | HEK293T CMV-pri-miR-9-F1-
GSE149204	2022	Y	lit	70	0	NONE	10.1016/j.molcel.2022.09.036	Alternative cleavage and polyadenylation generates downstream uncapped RNA isoforms with translation potential.	Polysomal_RNA_sequencing_Control_2.fastq.gz | RNA_sequencing_XRN_2.fastq.gz | 5‘_end_sequencing_Control_1.fastq.gz | Ribosome_profiling_Control_siRNA_1.fastq.gz | Ribosome_profiling_ALKBH5_siRNA_1.fastq.gz | Ribosome_profiling_Control_siRNA_2.fastq.gz | RNA_sequencing_NUDT21_siRNA_TEX_1.fastq.gz | RNA_sequencing_NUDT21_Control_1_TEX_1.fastq.gz | RNA_sequencing_NUDT21_siRNA_TEX_2.fastq.gz | RNA_sequencing_A_AMANITINE_Control_1.fastq.gz | RNA_sequencing_A_AMANITINE_Control_2.fastq.gz | Nanopore_sequencing_Control_1.fastq.gz | RNA_Sequencing_siRNA_PCF11_2 | RNA_Sequencing_siRNA_CPSF3L_1 | RNA_Seq
GSE171581	2022	Y	lit	4	0	NONE	10.3389/fcell.2022.1078927	A region-dependent allele-biased expression of Dopa decarboxylase in mouse brain.	hKO1(+)_rep1 | hKO1(+)_rep2 | hKO1(-)_rep2 | hKO1(-)_rep1
GSE160161	2021	N	geo+lit	108	54	STRONG	10.1073/pnas.2101164118	Using DMS-MaPseq to dissect structural differences of ribosomal RNA in different pre-40S intermediates	WT pre-40S rep_1 NC | WT pre-40S rep_1 DMS | WT pre-40S rep_2 NC | WT pre-40S rep_2 NC | WT pre-40S rep_3 NC | WT pre-40S rep_3 DMS | WT pre-40S rep_3 DMS | WT pre-40S rep_4 NC | WT pre-40S rep_4 NC | WT pre-40S rep_4 DMS | WT pre-40S rep_4 DMS | WT pre-40S rep_5 NC | WT pre-40S rep_5 DMS | WT pre-40S rep_5 DMS | S15_YRR pre-40S rep_1 NC | S15_YRR pre-40S rep_1 DMS | S15_YRR pre-40S rep_1 DMS | S15_YRR pre-40S rep_2 NC | S15_YRR pre-40S rep_2 NC | S15_YRR pre-40S rep_2 DMS | S15_YRR pre-40S rep_2 DMS | S15_YRR pre-40S rep_2 DMS | S15_YRR pre-40S rep_3 DMS | Rio2_Δloop pre-40S rep_1 NC | Rio2_Δ
GSE147506	2021	N	geo	20	5	STRONG	10.1016/j.molcel.2021.01.034	Key role of dysregulated SF3A3 translation in MYC-induced breast tumorigenesis	BT549 DSL3 RNA-seq #2 | SF3A3 5'UTR mut in vitro DMS-MaPseq | IMR90 MYC RNA-seq #2 | IMR90 MYC shSF3A3 RNA-seq #1 | IMR90 MYC shSF3A3 RNA-seq #2 | IMR90 SF3A3 5'UTR DMS-MaPseq #2 | IMR90 control RNA-seq #2 | IMR90 control RNA-seq #3 | BT549 WT RNA-seq #3 | BT549 DSL3 RNA-seq #3 | IMR90 SF3A3 5'UTR DMS-MaPseq #1 | SF3A3 5'UTR WT in vitro DMS-MaPseq | SF3A3 5'UTR res in vitro DMS-MaPseq | IMR90 control RNA-seq #1 | IMR90 MYC RNA-seq #1 | IMR90 MYC RNA-seq #3 | IMR90 MYC shSF3A3 RNA-seq #3 | BT549 WT RNA-seq #1 | BT549 WT RNA-seq #2 | BT549 DSL3 RNA-seq #1
GSE147504	2021	N	geo	5	5	STRONG	10.1016/j.molcel.2021.01.034	Targeted DMS probing of SF3A3 5' UTR	IMR90 SF3A3 5'UTR DMS-MaPseq #1 | SF3A3 5'UTR WT in vitro DMS-MaPseq | SF3A3 5'UTR res in vitro DMS-MaPseq | SF3A3 5'UTR mut in vitro DMS-MaPseq | IMR90 SF3A3 5'UTR DMS-MaPseq #2
GSE168393	2021	Y	geo+lit	4	4	STRONG	10.1261/rna.078747.121	Translational activation by an alternative sigma factor in Bacillus subtilis	yvrE DMS | ctc DMS | ctc NoDMS | yvrE NoDMS
GSE183927	2021	N	geo	16	4	STRONG	10.1007/s11427-021-1993-6	ANKRD52_SHAPE-MaP	DC_CiANKRD52 | DC_pre_ANKRD52_DNAtemplate | DC_pre_ANKRD52 | NAI_rep1_pre_ANKRD52_DNAtemplate | DC_CiANKRD52_DNAtemplate | DMSO_pre_ANKRD52_DNAtemplate | NAI_rep1_CiANKRD52_DNAtemplate | NAI_rep1_CiANKRD52 | NAI_rep1_pre_ANKRD52 | DMSO_CiANKRD52_DNAtemplate | DMSO_CiANKRD52 | DMSO_pre_ANKRD52 | NAI_rep2_CiANKRD52_DNAtemplate | NAI_rep2_CiANKRD52 | NAI_rep2_pre_ANKRD52_DNAtemplate | NAI_rep2_pre_ANKRD52
GSE159719	2021	Y	geo+lit	13	8	STRONG	10.1261/rna.077263.120	RNA structure probing to characterize RNA-protein interations on a low abundance pre-mRNA in living cells	MBNLamplicon_DMSO_Set2 | MBNLamplicon_DMSO_Set3 | MBNLamplicon_DMSO_Set4 | MBNLamplicon_Dox_NAI_Set3 | Rn7SK_control_DMSO | MBNLamplicon_DMSO_Set1 | MBNLamplicon_No_dox_NAI_Set1 | MBNLamplicon_No_dox_NAI_Set2 | Rn7SK_control_NAI | Rpph1_control_DMSO | Rpph1_control_NAI | MBNLamplicon_Dox_NAI_Set1 | MBNLamplicon_Dox_NAI_Set2
GSE173177	2021	Y	geo	9	6	STRONG	10.1093/nar/gkab533	Discovery of pre-mRNA structural scaffold as a contributor to mammalian splicing code [In Vivo]	AdML_DC | AdMLΔ3'SS_in_vivo_DMSO | AdMLΔ3'SS_DC | AdML_in_vivo_DMSO | AdML_in_vivo_NAI | AdMLΔ3'SSΔESE_in_vivo_DMSO | AdMLΔ3'SSΔESE_in_vivo_NAI | AdMLΔ3'SS_in_vivo_NAI | AdMLΔ3'SSΔESE_DC in_vivo
GSE173175	2021	Y	geo	50	40	STRONG	10.1093/nar/gkab533	Discovery of a pre-mRNA structural scaffold as a contributor to the mammalian splicing code [in vitro]	AdML+U1_buffer_DMSO | AdML_DC_2mM | AdML+SR_buffer_DMSO | AdMLΔ3'SS+SR_buffer_DMSO | AdMLΔ3'SS+SRSF5_NMIA_2mM | AdMLΔ3'SSΔESE+SRSF5_DMSO | AdMLΔBS_DMSO | AdMLΔBS_NMIA_8mM | AdMLΔ3'SS_DMSO | AdMLΔ5'SS(ΔGU)_NMIA_8mM | Ad_DC_8mM | Ad5_DC_8mM | Ad3_DC_8mM | Ad5(GU)_DC_8mM | AdML+DNA#2+DNA#5_NMIA_8mM | AdML+DNA#2+DNA#3_NMIA_8mM | AdML+U1_snRNP_DMSO | AdML+U1_snRNP_NMIA_2mM | AdMLΔ5'SS_DC_2mM | AdMLΔ3'SS+U1_buffer_DMSO | AdMLΔ3'SS+U1_buffer_NMIA_2mM | AdML+SR_buffer_NMIA_2mM | AdMLΔ3'SS+SR_buffer_NMIA_2mM | AdMLΔ3'SS+SRSF5_DMSO | AdMLΔ3'SS+SRSF1_NMIA_2mM | AdMLΔ3'SSΔESE_DC | AdMLΔ3'SSΔESE+SR_buffer_
GSE174140	2021	N	geo	12	8	STRONG	10.1126/science.abf6582	lncRNA SLERT controls phase separation of FC/DFCs to facilitate Pol I transcription	5S_rep1_invivo_DMSO | SLERT_rep2_invivo_DC | 5S_rep1_invivo_DC | 5S_rep2_invivo_DMSP | SLERT_rep1_invivo_DMSO | SLERT_rep1_invivo_NAI | 5S_rep1_invivo_NAI | 5S_rep2_invivo_DC | 5S_rep2_invivo_NAI | SLERT_rep1_invivo_DC | SLERT_rep2_invivo_DMSO | SLERT_rep2_invivo_NAI
GSE163494	2021	N	geo	4	4	STRONG	10.1038/s41586-021-03589-x	Shape of promoter antisense RNAs regulates ligand-induced transcription activation [Shape-Map]	pasRNA_ABAT_replicateA (DMSO) | pasRNA_ABAT_replicateB (DMSO) | pasRNA_ABAT_replicateA (1M7) | pasRNA_ABAT_replicateB (1M7)
GSE154563	2021	Y	geo+lit	36	16	STRONG	10.1093/nar/gkaa1255	SHAPE analysis of RNA structure in living cells with unprecedented accuracy	DMSO, E. coli, ex vivo (TGIRT-III) | NAI, E. coli, ex vivo (HIV RT) | NAI, E. coli, ex vivo (SSII) | 1M4, E. coli, in vivo (SSII) | 2A3, E. coli, in vivo (SSII) | DMSO, B. subtilis, in vivo (SSII) | NAI, B. subtilis, in vivo (SSII) | 1M4, B. subtilis, in vivo (SSII) | 6A3, B. subtilis, in vivo (SSII) | NIC, B. subtilis, in vivo (SSII) | 2A3, B. subtilis, in vivo (SSII) | NAI, HEK293, in vivo (SSII) | 6A3, HEK293, in vivo (SSII) | NIC, HEK293, in vivo (SSII) | 2A3, HEK293, in vivo (SSII) | NAI, E. coli, ex vivo (TGIRT-III) | DMSO, E. coli, ex vivo (HIV RT) | DMSO, E. coli, ex vivo (SSII) | B5, 
GSE236224	2021	N	geo+lit	9	5	STRONG	10.1016/j.molcel.2021.09.027	Genome-wide RNA structure changes during human neurogenesis modulate gene regulatory networks	NPC-4% DMS-Rep3 | NPC-4% DMS-Rep2 | hECS-CTRL-Rep2 | hECS-CTRL-Rep1 | hECS-4% DMS-Rep1 | NPC-CTRL-Rep1 | NPC-4% DMS-Rep1 | hECS-4% DMS-Rep2 | NPC-CTRL-Rep2
GSE148202	2021	N	geo	58	8	STRONG	10.1038/s41556-021-00709-7	ALKBH7-mediated demethylation regulates mitochondrial  polycistronic RNA processing	HepG2_SmallRNA_Demethylated-rep1 | HepG2_tRNA_siControl-rep2 | HeLa_tRNA_shTRMT1-rep1 | HeLa_tRNA_shTRMT1-rep2 | HeLa_tRNA_overexpression_Control-rep1 | HeLa_tRNA_overexpression_Control-rep2 | HepG2_dsRNA_siControl-rep2 | HepG2_dsRNA_ALKBH7_KO-rep1 | HepG2_dsRNA_ALKBH7_KO-rep2 | HeLa_dsRNA_shControl-rep1 | HeLa_dsRNA_overexpression_Control-rep1 | HeLa_dsRNA_overexpression_Control-rep2 | icSHAPE_siControl_Input-rep1 | icSHAPE_siALKBH7_Pulldown-rep1 | HepG2_dsRNA_empty-vector_rep2 | HepG2_dsRNA_ALKBH7-WT_rep1 | HepG2_dsRNA_ALKBH7-WT_rep2 | HepG2_WT_10min-EU-RNA_rep2 | HepG2_WT_20min-EU-RNA_rep1 
GSE149018	2021	N	geo	42	10	STRONG	10.1016/j.molcel.2021.01.040	Alternative RNA Stuctures Formed During Transcription Depend on Elongation Rate and Modify RNA processing	tNetSeq WT pol II Rep1 | tNetSeq R749H slow pol II Rep3 | tNetSeq WT pol II Rep3 (re-analyzed) | tNet-MaPseq WT pol II Rep1 | tNet-MaPseq R749H slow pol II Rep1 | tNet-MaPseq R749H slow pol II Rep2 | tNet-MaPseq WT pol II - untreated control (DMSO) | tNet-MaPseq WT pol II - untreated control (DMSO) | tNet-MaPseq R749H slow pol II - untreated control (DMSO) | tNet-PIPseq RNaseOne treated R749H slow pol II Rep2 | tNet-PIPseq Rnase V1 treated WT pol II Rep1 | tNet-PIPseq Rnase V1 treated WT pol II Rep3 | tNet-PIPseq Rnase V1 treated R749H slow pol II Rep3 | tNet-PIPseq Rnase V1+ RNaseOne treated 
GSE152483	2021	Y	lit	87	24	STRONG	10.1038/s41587-020-0709-7	Analysis of RNA-protein networks with RNP-MaP defines functional hubs on RNA.	Hs-RNaseP-3JUV-10mMSDA-Rep2 | HsXIST-UV | HEK293-cytoplasmRNA-3JUV-10mMSDA-Rep2 | Mm-Rmrp-3JUV-5mMSDA | Mm-Rmrp-3JUV-10mMSDA-D | Mm-U1-10mMSDA | Mm-U1-3JUV-10mMSDA-Extracted | Mm-U1-3JUV-10mMSDA-InCell | Mm-U1-3JUV | Mm-Rmrp-DMSO-CellFree | Mm-Rmrp-DMSO-InCell | Mm-RNaseP-DMSO-CellFree | Hs-XISTE-3JUV-2mMSDA-1uMBSA-InVitro | Hs-XISTE-3JUV-2mMSDA-1uMTIA1-InVitro | Hs-XISTE-3JUV-2mMSDA-InVitro | Hs-XIST-5NIA-CF-1 | Hs-XIST-5NIA-CF-2 | Hs-XIST-DMSO-CF-1 | Hs-XIST-DMSO-CF-2 | Hs-XIST-DMSO-IC-1 | Mm-Xist-5NIA-CF-2 | Mm-Xist-DMSO-IC-2 | Mm-Rmrp-3JUV-10mMSDA-Extracted | Mm-Rmrp-3JUV-10mMPreQuenchSDA 
GSE149493	2021	Y	lit	21	0	NONE	10.1038/s41467-021-22552-y	Optimized photochemistry enables efficient analysis of dynamic RNA structuromes and interactomes in genetic and infectious disease	HEK293_AMT_rep1 | HEK293_mRNA | Mouse_brain_mRNA | HeLa_VR1197 | HeLa_US47_AG | HEK293_snoRNA | HeLa_VR1197_GA | HeLa_VR1197_AG | HeLa_US47 | HeLa_US47_GA | Mouse_brain_snoRNA | HEK293_AMT_rep4 | HEK293_Amoto_rep3 | HEK293_AMT_rep2 | HEK293_AMT_rep3 | HEK293_Amoto_rep1 | HEK293_Amoto_rep2 | HEK293_Amoto_rep4 | SHSY5Y_US47 | SHSY5Y_US47_GA | SHSY5Y_US47_AG
GSE097486	2021	Y	lit	0	0	NONE	10.1016/j.xpro.2021.100477	Analysis of RNA conformation in endogenously assembled RNPs by icSHAPE.	
GSE153303	2021	Y	lit	10	2	STRONG	10.1038/s41467-021-22549-7	Conserved long-range base pairings are associated with pre-mRNA processing of human genes.	25 ug/ml DRB-treated A549 cells_1 | DMSO-treated A549 cells_1 | DMSO-treated A549 cells_2 | 10 ug/ml DRB-treated A549 cells_1 | 1 ug/ml a-amanitin-treated A549 cells_1 | 1 ug/ml a-amanitin-treated A549 cells_2 | 2 ug/ml a-amanitin-treated A549 cells_1 | 2 ug/ml a-amanitin-treated A549 cells_2 | 10 ug/ml DRB-treated A549 cells_2 | 25 ug/ml DRB-treated A549 cells_2
GSE169020	2021	N	lit	56	0	NONE	10.1016/j.celrep.2021.110015	MapToCleave: High-throughput profiling of microRNA biogenesis in living cells.	HEK-293T mock 0x rep1 sRNA | HEK-293T mock 0x rep4 sRNA | HEK-293T transfection 1x rep1 sRNA | HEK-293T transfection 1x rep3 sRNA | HEK-293T transfection 10x rep2 sRNA | NIH-3T3 mock 0x rep3 sRNA | NIH-3T3 mock 0x rep5 sRNA | NIH-3T3 transfection 1x rep1 sRNA | NIH-3T3 transfection 1x rep4 sRNA | HEK-293T transfection 1x rep4 DNA | NIH-3T3 transfection 1x rep1 DNA | MEF transfection 1x sRNA | HEK-293T mock rep2 sRNA batch 2 | HEK-293T transfection rep1 sRNA batch 2 | HeLa transfection rep2 sRNA batch 2 | S02: tagged mir-16, tagged mir-30a, tagged mir-125a (rep1) | S04: tagged mir-16, WT mir-30
GSE153369	2021	N	lit	24	0	NONE	10.1002/glia.23890	Phagocytosis-related NADPH oxidase 2 subunit gp91phox contributes to neurodegeneration after repeated systemic challenge with lipo	WT_PBS_5 | WT_LPS_1 | WT_LPS_5 | WT_LPS_6 | Nox2KO_PBS_1 | Nox2KO_PBS_3 | Nox2KO_PBS_6 | Nox2KO_LPS_2 | Nox2KO_LPS_3 | Nox2KO_LPS_6 | WT_PBS_1 | WT_PBS_2 | WT_PBS_4 | WT_PBS_6 | WT_LPS_2 | Nox2KO_LPS_5 | WT_PBS_3 | WT_LPS_3 | WT_LPS_4 | Nox2KO_PBS_2 | Nox2KO_PBS_4 | Nox2KO_PBS_5 | Nox2KO_LPS_1 | Nox2KO_LPS_4
GSE164760	2021	N	lit	0	0	NONE	10.1016/j.jhep.2021.04.049	Molecular characterisation of hepatocellular carcinoma in patients with non-alcoholic steatohepatitis.	
GSE162379	2021	Y	lit	5	0	NONE	10.1371/journal.pone.0249215	Slowpoke functions in circadian output cells to regulate rest:activity rhythms.	PI Cell 2 | PI Cell 3 | PI Cell 4 | PI Cell D (discarded) | PI Cell 1
GSE162971	2021	Y	lit	29	0	NONE	10.1016/j.celrep.2021.109407	Alternative 3' UTRs play a widespread role in translation-independent mRNA association with the endoplasmic reticulum.	C2C12P_Cytosol | C2C12P_Membrane | C2C12P_Membrane_Polysome_rep1 | C2C12P_Cytosol_Monosome_rep1 | C2C12P_Cytosol_Monosome_rep2 | C2C12P_Membrane_Monosome_rep2 | C2C12P_PuroUntreated_Cytosol | C2C12P_PuroUntreated_Membrane | C2C12P_Puro60min_Cytosol | C2C12P_Puro0min_Membrane | C2C12P_Puro30min_Membrane | C2C12D_Cytosol_Polysome_rep1 | C2C12D_Cytosol_Monosome_rep1 | C2C12D_Membrane_Monosome_rep2 | C2C12P_Cytosol_RNAseq | C2C12P_Cytosol_Polysome_rep2 | C2C12P_Membrane_Polysome_rep2 | C2C12P_Membrane_Monosome_rep1 | C2C12P_Puro0min_Cytosol | C2C12P_Puro30min_Cytosol | C2C12D_Cytosol_Polysome_rep2
GSE115232	2021	Y	lit	22	0	NONE	10.1016/j.celrep.2021.109407	Alternative 3' UTRs play a widespread role in translation-independent mRNA association with the endoplasmic reticulum.	Ctrl_C2C12_4sU_1_3READS | Ctrl_C2C12_input_1_3READS | siPcf11_C2C12_4sU_1_3READS | Pcf11_IPAKO_4T1_2_3READS | Ctrl_3T3L1_RNAseq_1 | C2C12_diff_2_3READS | Ctrl_NIH3T3_2_3READS | Ctrl_NIH3T3_1_3READS | siPcf11_NIH3T3_2_3READS | Ctrl_C2C12_4sU_2_3READS | siPcf11_C2C12_4sU_2_3READS | Ctrl_4T1_1_3READS | Ctrl_C2C12_input_2_3READS | siPcf11_C2C12_input_1_3READS | siPcf11_C2C12_input_2_3READS | Ctrl_4T1_2_3READS | Pcf11_IPAKO_4T1_1_3READS | siPcf11_3T3L1_RNAseq_1 | C2C12_pro_1_3READS | C2C12_pro_2_3READS | C2C12_diff_1_3READS | siPcf11_NIH3T3_1_3READS
GSE163176	2021	N	lit	6	0	NONE	10.1096/fj.202100408rr	Pentraxin 3 secreted by human adipose-derived stem cells promotes dopaminergic neuron repair in Parkinson's disease via the inhibi	ASC_1 | ASC_2 | ASC_PD_1 | ASC_PD_3 | ASC_3 | ASC_PD_2
GSE115159	2020	N	geo	6	6	STRONG	10.15252/embj.2019103365	Regulation of Translation Elongation Revealed by Ribosome Profiling [Dataset_2]	lysate dilute no_drug_NO_DMS, DMSMaP-seq | lysate dilute no_drug_40mM_DMS, DMSMaP-seq | lysate dilute TIG_NO_DMS, DMSMaP-seq | lysate dilute TIG_40mM_DMS, DMSMaP-seq | lysate dilute no_drug_90mM_DMS, DMSMaP-seq | lysate dilute TIG_90mM_DMS, DMSMaP-seq
GSE115158	2020	N	geo	15	15	STRONG	10.15252/embj.2019103365	Regulation of Translation Elongation Revealed by Ribosome Profiling [Dataset_1]	in vivo no_drug_300uL_DMS, DMSMaP-seq | in vivo no_drug_600uL_DMS, DMSMaP-seq | in vivo CHX_300uL_DMS, DMSMaP-seq | in vivo ANI_600uL_DMS, DMSMaP-seq | lysate no_drug_40mM_DMS, DMSMaP-seq | lysate no_drug_90mM_DMS, DMSMaP-seq | lysate ANI_NO_DMS, DMSMaP-seq | lysate ANI_40mM_DMS, DMSMaP-seq | in vivo no_drug_NO_DMS, DMSMaP-seq | in vivo ANI_NO_DMS, DMSMaP-seq | in vivo ANI_300uL_DMS, DMSMaP-seq | lysate no_drug_NO_DMS, DMSMaP-seq | in vivo CHX_NO_DMS, DMSMaP-seq | in vivo CHX_600uL_DMS, DMSMaP-seq | lysate ANI_90mM_DMS, DMSMaP-seq
GSE162569	2020	Y	geo+lit	27	8	STRONG	10.1016/j.molcel.2020.11.041	Genomic RNA elements drive phase separation of the SARS-CoV-2 nucleocapsid	Frameshifting-region RNA 25mM 5NIA In Vitro | Nucleocapsid RNA 25mM 5NIA In Vitro | Nucleocapsid RNA DMSO In Vitro | 5′-End RNA N-protein-80x 10mM-SDA In Vitro | 5′-End RNA N-protein-20x 10mM-SDA In Vitro | Frameshifting-RNA N-protein-160x 10mM-SDA In Vitro | Frameshifting-RNA N-protein-20x 10mM-SDA In Vitro | Nucleocapsid-RNA N-protein-160x 10mM-SDA In Vitro | Nucleocapsid -RNA N-protein-20x 10mM-SDA In Vitro | Nucleocapsid -RNA N-protein-0x 10mM-SDA In Vitro | PSE-region-RNA N-protein-0x 10mM-SDA In Vitro | Frameshifting-RNA mut-N-protein-160x 10mM-SDA In Vitro | Frameshifting-RNA mut-N-prot
